v,i
[0.05644095],1
 [0.10633862],8
 [0.10195304],13
 [0.08788277],7
 [0.07329172],16
 [0.07075926],17
 [0.06897802]],20
 [0.06897802]],12
 [0.06897802]],9
 [0.06897802]],4
 [0.06897802]],5
 [0.06897802]],6
 [0.06897802]],11
 [0.06897802]],2
 [0.06897802]],18
 [0.06897802]],3
 [0.06897802]],10
 [0.06897802]],15
 [0.06897802]],14
 [0.06897802]],19
